STATION,DATE,ENTRIES,EXITS
1 AV,12/20,16664554313,16781837913
1 AV,01/21,86572627199,87163125793
1 AV,02/21,77781173854,78373438909
1 AV,03/21,73197959333,73712240647
103 ST,12/20,4806916404,4246199776
103 ST,01/21,24879439143,21999145055
103 ST,02/21,22510118045,19911761370
103 ST,03/21,20923445284,18516061699
103 ST-CORONA,12/20,2297178694,2348071475
103 ST-CORONA,01/21,11913823994,12174684843
103 ST-CORONA,02/21,10785664484,11027351404
103 ST-CORONA,03/21,9987606786,10211041632
104 ST,12/20,60897270351,35639622048
104 ST,01/21,312970093271,183158034185
104 ST,02/21,284216396946,166332300833
104 ST,03/21,260538446090,152477099669
110 ST,12/20,1486085783,1429900085
110 ST,01/21,7639319908,7384914708
110 ST,02/21,6960157912,6708101446
110 ST,03/21,6419279024,6177270038
111 ST,12/20,4923727543,2557799930
111 ST,01/21,25461010046,13231606729
111 ST,02/21,23042678286,11987164985
111 ST,03/21,21393869749,11124028607
116 ST,12/20,9327209542,8946081479
116 ST,01/21,48158715414,46210542369
116 ST,02/21,43591283962,41802674673
116 ST,03/21,40676312902,39086727346
116 ST-COLUMBIA,12/20,43817019733,9365938266
116 ST-COLUMBIA,01/21,226393360456,48395431831
116 ST-COLUMBIA,02/21,183800394921,39295705692
116 ST-COLUMBIA,03/21,189895204351,40604642703
121 ST,12/20,68458053858,18452550651
121 ST,01/21,363760664642,98029049127
121 ST,02/21,328563003423,88546071025
121 ST,03/21,303142314296,81697056624
125 ST,12/20,205675802214,127226098054
125 ST,01/21,1052028052666,651902279324
125 ST,02/21,956550011787,592484065476
125 ST,03/21,888907124754,550557028978
135 ST,12/20,49764003268,42164326235
135 ST,01/21,726743193818,674104020661
135 ST,02/21,488368586032,449996503436
135 ST,03/21,451606390301,416073624457
137 ST CITY COL,12/20,2419301571,1397083993
137 ST CITY COL,01/21,12571611157,7252617774
137 ST CITY COL,02/21,11349420261,6636979302
137 ST CITY COL,03/21,11758497848,6637452011
138/GRAND CONC,12/20,36021956713,34775713359
138/GRAND CONC,01/21,186117314685,179679219590
138/GRAND CONC,02/21,168111851808,162297834640
138/GRAND CONC,03/21,155108765610,149745378562
14 ST,12/20,133361041231,101557121433
14 ST,01/21,686620580018,523186593638
14 ST,02/21,621975310218,473435355732
