STATION,DATE,ENTRIES,EXITS
116 St,04/20,111190.0,133112.0
116 St,05/20,132563.0,153159.0
116 St,06/20,178105.0,198632.0
116 St,07/20,221094.0,247685.0
116 St,08/20,224999.0,251596.0
116 St,09/20,280590.0,280635.0
116 St,10/20,314303.0,293652.0
116 St,11/20,285798.0,287463.0
116 St,12/20,230621.0,231640.0
116 St,01/19,828663.0,483863.0
116 St,02/19,780150.0,444766.0
116 St,03/19,903368.0,522180.0
116 St,04/19,897052.0,512888.0
116 St,05/19,940278.0,544370.0
116 St,06/19,866090.0,525482.0
116 St,07/19,806631.0,491958.0
116 St,08/19,779733.0,495165.0
116 St,09/19,875041.0,525334.0
116 St,10/19,943579.0,559368.0
116 St,11/19,851920.0,505721.0
116 St,12/19,832331.0,512084.0
116 St - Columbia University,01/20,313541.0,170689.0
116 St - Columbia University,02/20,375521.0,205451.0
116 St - Columbia University,03/20,151427.0,97356.0
116 St - Columbia University,04/20,15575.0,14722.0
116 St - Columbia University,05/20,16819.0,16881.0
116 St - Columbia University,06/20,25429.0,23879.0
116 St - Columbia University,07/20,34612.0,31303.0
116 St - Columbia University,08/20,41193.0,37327.0
116 St - Columbia University,09/20,58901.0,51852.0
116 St - Columbia University,10/20,64020.0,55509.0
116 St - Columbia University,11/20,54345.0,48697.0
116 St - Columbia University,12/20,43367.0,37736.0
116 St - Columbia University,01/19,314027.0,169920.0
116 St - Columbia University,02/19,400723.0,204484.0
116 St - Columbia University,03/19,398817.0,205491.0
116 St - Columbia University,04/19,434181.0,217938.0
116 St - Columbia University,05/19,367458.0,193498.0
116 St - Columbia University,06/19,259624.0,139687.0
116 St - Columbia University,07/19,291030.0,153105.0
116 St - Columbia University,08/19,283697.0,146409.0
116 St - Columbia University,09/19,427983.0,212563.0
116 St - Columbia University,10/19,474796.0,234876.0
116 St - Columbia University,11/19,402381.0,203743.0
116 St - Columbia University,12/19,331238.0,168864.0
121 St,01/20,55480.0,36068.0
121 St,02/20,53915.0,33723.0
121 St,03/20,37626.0,23613.0
121 St,04/20,8467.0,6759.0
121 St,05/20,10992.0,8719.0
121 St,06/20,15388.0,12599.0
121 St,07/20,18688.0,15361.0
121 St,08/20,19704.0,15927.0
121 St,09/20,25983.0,20083.0
121 St,10/20,27130.0,18949.0
121 St,11/20,24832.0,15684.0
121 St,12/20,21666.0,15967.0
121 St,01/19,56987.0,29252.0
121 St,02/19,48251.0,28013.0
121 St,03/19,57329.0,37176.0
121 St,04/19,63646.0,49157.0
121 St,05/19,60910.0,41791.0
121 St,06/19,59003.0,39402.0
121 St,07/19,59467.0,40549.0
121 St,08/19,53963.0,36964.0
121 St,09/19,55807.0,36294.0
121 St,10/19,63129.0,41119.0
121 St,11/19,58849.0,37750.0
121 St,12/19,55184.0,34960.0
125 St,01/20,2004562.0,1691737.0
125 St,02/20,1895271.0,1609404.0
125 St,03/20,1209372.0,1117805.0
125 St,04/20,288578.0,397272.0
125 St,05/20,330511.0,454648.0
125 St,06/20,436252.0,572695.0
125 St,07/20,532419.0,708275.0
125 St,08/20,557110.0,733193.0
125 St,09/20,671297.0,801209.0
125 St,10/20,739930.0,873435.0
125 St,11/20,661262.0,803538.0
125 St,12/20,540629.0,671599.0
125 St,01/19,2271586.0,1768717.0
125 St,02/19,2209853.0,1696678.0
125 St,03/19,2527811.0,1938888.0
125 St,04/19,2492154.0,1938116.0
125 St,05/19,2612683.0,2044042.0
125 St,06/19,2442437.0,1952512.0
125 St,07/19,2330102.0,1928787.0
125 St,08/19,2276520.0,1998017.0
125 St,09/19,2509548.0,2036254.0
125 St,10/19,2679593.0,2114584.0
125 St,11/19,2408230.0,1915943.0
125 St,12/19,2316313.0,1848846.0
135 St,01/20,500522.0,240137.0
135 St,02/20,481917.0,226368.0
135 St,03/20,298354.0,159131.0
135 St,04/20,67088.0,53512.0
135 St,05/20,78862.0,61251.0
135 St,06/20,109583.0,80693.0
135 St,07/20,132085.0,98120.0
135 St,08/20,133134.0,99165.0
135 St,09/20,164279.0,119275.0
135 St,10/20,187893.0,124369.0
135 St,11/20,160473.0,114627.0
135 St,12/20,128873.0,91268.0
135 St,01/19,482169.0,218943.0
135 St,02/19,470141.0,207115.0
135 St,03/19,538581.0,239819.0
135 St,04/19,472526.0,235360.0
135 St,05/19,560439.0,254644.0
135 St,06/19,519481.0,237854.0
135 St,07/19,492675.0,225145.0
135 St,08/19,430226.0,204902.0
135 St,09/19,530096.0,243193.0
135 St,10/19,571010.0,265742.0
135 St,11/19,499331.0,233821.0
135 St,12/19,477790.0,224587.0
137 St - City College,01/20,336917.0,355512.0
137 St - City College,02/20,362220.0,370322.0
137 St - City College,03/20,195737.0,198222.0
137 St - City College,04/20,34815.0,49237.0
137 St - City College,05/20,43460.0,59905.0
137 St - City College,06/20,64939.0,83790.0
137 St - City College,07/20,81976.0,104020.0
137 St - City College,08/20,87239.0,113400.0
137 St - City College,09/20,110133.0,134452.0
137 St - City College,10/20,122670.0,152425.0
137 St - City College,11/20,111832.0,140639.0
137 St - City College,12/20,88221.0,111776.0
137 St - City College,01/19,320589.0,279917.0
137 St - City College,02/19,326244.0,283568.0
137 St - City College,03/19,358238.0,316015.0
137 St - City College,04/19,376826.0,337685.0
137 St - City College,05/19,374157.0,335802.0
137 St - City College,06/19,252374.0,211711.0
137 St - City College,07/19,261237.0,242568.0
137 St - City College,08/19,274820.0,265966.0
137 St - City College,09/19,360801.0,330568.0
137 St - City College,10/19,362299.0,332963.0
137 St - City College,11/19,335261.0,309462.0
137 St - City College,12/19,320388.0,280992.0
138 St - Grand Concourse,01/20,57822.0,47327.0
138 St - Grand Concourse,02/20,49857.0,34938.0
138 St - Grand Concourse,03/20,35325.0,23782.0
138 St - Grand Concourse,04/20,15743.0,18852.0
138 St - Grand Concourse,05/20,13154.0,15497.0
138 St - Grand Concourse,06/20,14193.0,16906.0
138 St - Grand Concourse,07/20,15378.0,21588.0
138 St - Grand Concourse,08/20,21863.0,31032.0
138 St - Grand Concourse,09/20,30604.0,37004.0
138 St - Grand Concourse,10/20,34621.0,40847.0
138 St - Grand Concourse,11/20,34691.0,42138.0
138 St - Grand Concourse,12/20,29678.0,35308.0
138 St - Grand Concourse,01/19,78209.0,70514.0
138 St - Grand Concourse,02/19,71779.0,62149.0
138 St - Grand Concourse,03/19,84411.0,76071.0
138 St - Grand Concourse,04/19,89055.0,80934.0
138 St - Grand Concourse,05/19,97856.0,86351.0
138 St - Grand Concourse,06/19,95733.0,81748.0
138 St - Grand Concourse,07/19,88217.0,81008.0
138 St - Grand Concourse,08/19,92393.0,86129.0
138 St - Grand Concourse,09/19,105132.0,87562.0
138 St - Grand Concourse,10/19,107646.0,90598.0
138 St - Grand Concourse,11/19,83320.0,70211.0
138 St - Grand Concourse,12/19,59054.0,47258.0
14 St,01/20,218864.0,216664.0
14 St,02/20,232625.0,233244.0
14 St,03/20,110146.0,131261.0
14 St,04/20,12971.0,24058.0
14 St,05/20,19042.0,29769.0
14 St,06/20,32906.0,43473.0
14 St,07/20,47078.0,56100.0
14 St,08/20,53823.0,69858.0
14 St,09/20,63431.0,85328.0
14 St,10/20,71795.0,87390.0
14 St,11/20,61118.0,77824.0
14 St,12/20,52483.0,59019.0
14 St,01/19,239809.0,244454.0
14 St,02/19,213933.0,232323.0
14 St,03/19,255692.0,263365.0
14 St,04/19,279357.0,247836.0
14 St,05/19,252223.0,260777.0
14 St,06/19,260412.0,276295.0
14 St,07/19,247630.0,209248.0
14 St,08/19,245340.0,258349.0
14 St,09/19,250619.0,246546.0
14 St,10/19,271095.0,306053.0
14 St,11/19,240328.0,258893.0
14 St,12/19,220326.0,226896.0
14 St - Union Sq,01/19,2563393.0,2308815.0
14 St - Union Sq,02/19,2440720.0,2211195.0
14 St - Union Sq,03/19,2797224.0,2562025.0
14 St - Union Sq,04/19,2813642.0,2610415.0
14 St - Union Sq,05/19,2867979.0,2647810.0
14 St - Union Sq,06/19,2680329.0,2455803.0
14 St - Union Sq,07/19,2576372.0,2421432.0
14 St - Union Sq,08/19,2558934.0,2528788.0
14 St - Union Sq,09/19,2693848.0,2548466.0
14 St - Union Sq,10/19,2887354.0,2730295.0
14 St - Union Sq,11/19,2645441.0,2512520.0
14 St - Union Sq,12/19,2591543.0,2489791.0
145 St,01/20,900658.0,794872.0
145 St,02/20,861406.0,765461.0
145 St,03/20,550048.0,527036.0
145 St,04/20,116791.0,143255.0
145 St,05/20,147264.0,180066.0
145 St,06/20,200078.0,248988.0
145 St,07/20,252623.0,317007.0
145 St,08/20,273574.0,340043.0
145 St,09/20,328904.0,379072.0
145 St,10/20,363039.0,413331.0
145 St,11/20,328466.0,380882.0
145 St,12/20,264425.0,311620.0
145 St,01/19,911738.0,782679.0
145 St,02/19,885569.0,760713.0
145 St,03/19,1009609.0,866899.0
145 St,04/19,908510.0,765719.0
145 St,05/19,1023874.0,891478.0
145 St,06/19,936137.0,831197.0
145 St,07/19,905740.0,842790.0
145 St,08/19,908887.0,855077.0
145 St,09/19,980251.0,865272.0
145 St,10/19,1063977.0,935791.0
145 St,11/19,974131.0,842326.0
145 St,12/19,932419.0,822012.0
149 St - Grand Concourse,01/20,316596.0,180128.0
149 St - Grand Concourse,02/20,318740.0,177212.0
149 St - Grand Concourse,03/20,222739.0,155002.0
149 St - Grand Concourse,04/20,62857.0,67049.0
149 St - Grand Concourse,05/20,71102.0,80326.0
149 St - Grand Concourse,06/20,88353.0,96400.0
149 St - Grand Concourse,07/20,99821.0,113871.0
149 St - Grand Concourse,08/20,100790.0,115245.0
149 St - Grand Concourse,09/20,117560.0,122155.0
149 St - Grand Concourse,10/20,130639.0,127800.0
149 St - Grand Concourse,11/20,117817.0,116604.0
149 St - Grand Concourse,12/20,95572.0,92760.0
15 St - Prospect Park,01/20,170770.0,102289.0
15 St - Prospect Park,02/20,158821.0,93372.0
15 St - Prospect Park,03/20,83073.0,51933.0
15 St - Prospect Park,04/20,8824.0,7090.0
15 St - Prospect Park,05/20,12032.0,9907.0
15 St - Prospect Park,06/20,20799.0,16641.0
15 St - Prospect Park,07/20,30720.0,23769.0
15 St - Prospect Park,08/20,33483.0,26487.0
15 St - Prospect Park,09/20,42648.0,32481.0
15 St - Prospect Park,10/20,46141.0,35749.0
15 St - Prospect Park,11/20,38546.0,30126.0
15 St - Prospect Park,12/20,30722.0,24199.0
15 St - Prospect Park,01/19,164479.0,97393.0
15 St - Prospect Park,02/19,143959.0,86237.0
15 St - Prospect Park,03/19,169729.0,103372.0
15 St - Prospect Park,04/19,161249.0,87971.0
15 St - Prospect Park,05/19,177978.0,109654.0
15 St - Prospect Park,06/19,167950.0,105759.0
15 St - Prospect Park,07/19,159498.0,104297.0
15 St - Prospect Park,08/19,153221.0,98900.0
15 St - Prospect Park,09/19,168960.0,105651.0
15 St - Prospect Park,10/19,187043.0,113175.0
15 St - Prospect Park,11/19,167890.0,102802.0
15 St - Prospect Park,12/19,158624.0,96821.0
155 St,01/20,174448.0,122479.0
155 St,02/20,164818.0,116679.0
155 St,03/20,106078.0,76991.0
155 St,04/20,30063.0,28705.0
155 St,05/20,34673.0,34702.0
155 St,06/20,44457.0,41259.0
155 St,07/20,51593.0,49658.0
155 St,08/20,49006.0,48850.0
155 St,09/20,62193.0,55890.0
155 St,10/20,66689.0,60430.0
155 St,11/20,61783.0,56139.0
155 St,12/20,51293.0,47557.0
155 St,01/19,164956.0,109355.0
155 St,02/19,149632.0,90199.0
155 St,03/19,170979.0,111184.0
155 St,04/19,169222.0,112448.0
155 St,05/19,179337.0,117960.0
155 St,06/19,178385.0,125263.0
155 St,07/19,170830.0,123157.0
155 St,08/19,171979.0,120285.0
155 St,09/19,177745.0,118870.0
155 St,10/19,187370.0,125848.0
155 St,11/19,166700.0,104270.0
155 St,12/19,166356.0,111661.0
157 St,01/20,246032.0,164336.0
157 St,02/20,196279.0,128148.0
157 St,03/20,153337.0,122970.0
157 St,04/20,36403.0,38801.0
157 St,05/20,46247.0,48244.0
157 St,06/20,63968.0,64692.0
157 St,07/20,80209.0,81318.0
157 St,08/20,86500.0,87860.0
157 St,09/20,109776.0,108165.0
157 St,10/20,98941.0,96464.0
157 St,11/20,101368.0,100850.0
157 St,12/20,88622.0,86257.0
157 St,01/19,324816.0,239703.0
157 St,02/19,315934.0,225078.0
157 St,03/19,353250.0,247318.0
157 St,04/19,320578.0,223201.0
157 St,05/19,332569.0,226969.0
157 St,06/19,266190.0,176354.0
157 St,07/19,275974.0,194543.0
157 St,08/19,286811.0,203603.0
157 St,09/19,305511.0,218803.0
157 St,10/19,348178.0,249129.0
157 St,11/19,332871.0,247046.0
157 St,12/19,308128.0,218352.0
161 St - Yankee Stadium,01/20,569633.0,324858.0
161 St - Yankee Stadium,02/20,531062.0,306597.0
161 St - Yankee Stadium,03/20,369050.0,221663.0
161 St - Yankee Stadium,04/20,102541.0,77904.0
161 St - Yankee Stadium,05/20,114630.0,96637.0
161 St - Yankee Stadium,06/20,153593.0,122408.0
161 St - Yankee Stadium,07/20,179911.0,144332.0
161 St - Yankee Stadium,08/20,185073.0,151489.0
161 St - Yankee Stadium,09/20,221498.0,163641.0
161 St - Yankee Stadium,10/20,238663.0,172197.0
161 St - Yankee Stadium,11/20,222061.0,163787.0
161 St - Yankee Stadium,12/20,186936.0,135427.0
161 St - Yankee Stadium,01/19,552213.0,322386.0
161 St - Yankee Stadium,02/19,494975.0,288414.0
161 St - Yankee Stadium,03/19,635601.0,360032.0
161 St - Yankee Stadium,04/19,756121.0,438724.0
161 St - Yankee Stadium,05/19,821624.0,488528.0
161 St - Yankee Stadium,06/19,816416.0,466012.0
161 St - Yankee Stadium,07/19,781705.0,468332.0
161 St - Yankee Stadium,08/19,802801.0,481295.0
161 St - Yankee Stadium,09/19,766599.0,443806.0
161 St - Yankee Stadium,10/19,733547.0,411754.0
161 St - Yankee Stadium,11/19,601041.0,330936.0
161 St - Yankee Stadium,12/19,577486.0,331831.0
163 St - Amsterdam Av,01/20,123757.0,117286.0
163 St - Amsterdam Av,02/20,118947.0,114579.0
163 St - Amsterdam Av,03/20,68298.0,69561.0
163 St - Amsterdam Av,04/20,13813.0,22734.0
163 St - Amsterdam Av,05/20,17176.0,24422.0
163 St - Amsterdam Av,06/20,24596.0,31207.0
163 St - Amsterdam Av,07/20,30630.0,37938.0
163 St - Amsterdam Av,08/20,31522.0,43151.0
163 St - Amsterdam Av,09/20,38715.0,50690.0
163 St - Amsterdam Av,10/20,42475.0,51969.0
163 St - Amsterdam Av,11/20,39286.0,47308.0
163 St - Amsterdam Av,12/20,32137.0,40995.0
163 St - Amsterdam Av,01/19,107361.0,98084.0
163 St - Amsterdam Av,02/19,100196.0,77850.0
163 St - Amsterdam Av,03/19,115851.0,100104.0
163 St - Amsterdam Av,04/19,114334.0,100754.0
163 St - Amsterdam Av,05/19,123428.0,104096.0
163 St - Amsterdam Av,06/19,122619.0,108311.0
163 St - Amsterdam Av,07/19,115731.0,105456.0
163 St - Amsterdam Av,08/19,116644.0,99281.0
163 St - Amsterdam Av,09/19,118761.0,99978.0
163 St - Amsterdam Av,10/19,128470.0,108490.0
163 St - Amsterdam Av,11/19,115959.0,89782.0
163 St - Amsterdam Av,12/19,118648.0,107787.0
167 St,01/20,458800.0,348428.0
167 St,02/20,440778.0,332047.0
167 St,03/20,311402.0,252904.0
167 St,04/20,93955.0,95116.0
167 St,05/20,115500.0,116354.0
167 St,06/20,147545.0,147893.0
167 St,07/20,171717.0,174288.0
167 St,08/20,172260.0,176712.0
167 St,09/20,202535.0,197440.0
167 St,10/20,221277.0,219203.0
167 St,11/20,204075.0,200448.0
167 St,12/20,171378.0,166048.0
167 St,01/19,365370.0,302170.0
167 St,02/19,391048.0,307630.0
167 St,03/19,459821.0,353898.0
167 St,04/19,453396.0,331116.0
167 St,05/19,485673.0,358021.0
167 St,06/19,457272.0,339151.0
167 St,07/19,456093.0,350412.0
167 St,08/19,452302.0,333538.0
167 St,09/19,470946.0,355492.0
167 St,10/19,507289.0,364002.0
167 St,11/19,472530.0,347926.0
167 St,12/19,456050.0,344022.0
168 St,01/19,536885.0,315992.0
168 St,02/19,478391.0,277655.0
168 St,03/19,537115.0,301212.0
168 St,04/19,537718.0,298329.0
168 St,05/19,551833.0,305680.0
168 St,06/19,535486.0,304706.0
168 St,07/19,517936.0,263209.0
168 St,08/19,495287.0,130709.0
168 St,09/19,510643.0,124291.0
168 St,10/19,554129.0,129637.0
168 St,11/19,485346.0,112800.0
168 St,12/19,499551.0,163868.0
168 St - Washington Hts,01/20,560794.0,362198.0
168 St - Washington Hts,02/20,577036.0,381920.0
168 St - Washington Hts,03/20,361061.0,260275.0
168 St - Washington Hts,04/20,77236.0,71392.0
168 St - Washington Hts,05/20,101822.0,96423.0
168 St - Washington Hts,06/20,135894.0,123548.0
168 St - Washington Hts,07/20,171439.0,158731.0
168 St - Washington Hts,08/20,182891.0,168180.0
168 St - Washington Hts,09/20,215844.0,193965.0
168 St - Washington Hts,10/20,249637.0,223667.0
168 St - Washington Hts,11/20,219772.0,201649.0
168 St - Washington Hts,12/20,196905.0,184996.0
169 St,01/20,204613.0,186948.0
169 St,02/20,199296.0,182708.0
169 St,03/20,121089.0,124682.0
169 St,04/20,18320.0,29884.0
169 St,05/20,26733.0,38689.0
169 St,06/20,44790.0,59021.0
169 St,07/20,61212.0,76348.0
169 St,08/20,65170.0,83035.0
169 St,09/20,79608.0,97580.0
169 St,10/20,90631.0,112366.0
169 St,11/20,77126.0,91030.0
169 St,12/20,60896.0,73200.0
169 St,01/19,204060.0,181863.0
169 St,02/19,193941.0,168994.0
169 St,03/19,218095.0,192523.0
169 St,04/19,214588.0,192039.0
169 St,05/19,221135.0,198260.0
169 St,06/19,202882.0,187584.0
169 St,07/19,201405.0,186343.0
169 St,08/19,191948.0,181185.0
169 St,09/19,208633.0,193509.0
169 St,10/19,226190.0,208215.0
169 St,11/19,208882.0,196294.0
169 St,12/19,203278.0,187204.0
170 St,01/20,383653.0,264172.0
170 St,02/20,366619.0,252094.0
170 St,03/20,261495.0,197012.0
170 St,04/20,72587.0,77042.0
170 St,05/20,88486.0,94525.0
170 St,06/20,112967.0,118363.0
170 St,07/20,132120.0,137050.0
170 St,08/20,129498.0,134002.0
170 St,09/20,156888.0,148544.0
170 St,10/20,176750.0,157515.0
170 St,11/20,163861.0,144854.0
170 St,12/20,133958.0,118391.0
170 St,01/19,388277.0,261367.0
170 St,02/19,343346.0,257795.0
170 St,03/19,401113.0,263750.0
170 St,04/19,389253.0,261553.0
170 St,05/19,410309.0,275045.0
170 St,06/19,378746.0,267285.0
170 St,07/19,372611.0,258665.0
170 St,08/19,371223.0,256810.0
170 St,09/19,395468.0,267846.0
170 St,10/19,427824.0,283957.0
170 St,11/19,394203.0,266004.0
170 St,12/19,379804.0,264774.0
174 St,01/20,170546.0,172049.0
174 St,02/20,161449.0,162720.0
174 St,03/20,111121.0,118928.0
174 St,04/20,31723.0,51313.0
174 St,05/20,38253.0,63802.0
174 St,06/20,47196.0,76175.0
174 St,07/20,52773.0,85642.0
174 St,08/20,51252.0,85153.0
174 St,09/20,64189.0,93553.0
174 St,10/20,68460.0,97659.0
174 St,11/20,67466.0,95799.0
174 St,12/20,53623.0,78540.0
174 St,01/19,170826.0,154090.0
174 St,02/19,160663.0,144867.0
174 St,03/19,184904.0,173547.0
174 St,04/19,174683.0,174378.0
174 St,05/19,187310.0,190528.0
174 St,06/19,173054.0,182524.0
174 St,07/19,164630.0,173719.0
174 St,08/19,160299.0,161401.0
174 St,09/19,172848.0,170595.0
174 St,10/19,192151.0,184999.0
174 St,11/19,172312.0,164018.0
174 St,12/19,166064.0,162517.0
174-175 Sts,01/20,132017.0,71767.0
174-175 Sts,02/20,125176.0,69025.0
174-175 Sts,03/20,87343.0,52763.0
174-175 Sts,04/20,26211.0,21470.0
174-175 Sts,05/20,31240.0,25362.0
174-175 Sts,06/20,40753.0,32920.0
174-175 Sts,07/20,47206.0,38209.0
174-175 Sts,08/20,47684.0,39305.0
174-175 Sts,09/20,57959.0,56626.0
174-175 Sts,10/20,62927.0,60984.0
174-175 Sts,11/20,53806.0,55249.0
174-175 Sts,12/20,46909.0,48869.0
174-175 Sts,01/19,115601.0,72722.0
174-175 Sts,02/19,117052.0,58089.0
174-175 Sts,03/19,129170.0,68051.0
174-175 Sts,04/19,125207.0,66463.0
174-175 Sts,05/19,124718.0,67016.0
174-175 Sts,06/19,122678.0,66354.0
174-175 Sts,07/19,129079.0,73400.0
174-175 Sts,08/19,129008.0,72311.0
174-175 Sts,09/19,133042.0,73386.0
174-175 Sts,10/19,143772.0,76142.0
174-175 Sts,11/19,130935.0,69703.0
174-175 Sts,12/19,129402.0,69962.0
175 St,01/20,352150.0,201844.0
175 St,02/20,332843.0,195452.0
175 St,03/20,187497.0,114034.0
175 St,04/20,27203.0,25024.0
175 St,05/20,28792.0,24273.0
175 St,06/20,53365.0,45843.0
175 St,07/20,81453.0,66804.0
175 St,08/20,88676.0,72415.0
175 St,09/20,103757.0,85633.0
175 St,10/20,114771.0,92093.0
175 St,11/20,101186.0,83022.0
175 St,12/20,84542.0,72711.0
175 St,01/19,309437.0,178392.0
175 St,02/19,291649.0,167231.0
175 St,03/19,345154.0,189236.0
175 St,04/19,358170.0,193858.0
175 St,05/19,377516.0,203810.0
175 St,06/19,367759.0,200396.0
175 St,07/19,360041.0,200104.0
175 St,08/19,359484.0,204511.0
175 St,09/19,362556.0,199840.0
175 St,10/19,384610.0,207248.0
175 St,11/19,350463.0,185417.0
175 St,12/19,342870.0,188016.0
176 St,01/20,141929.0,82910.0
176 St,02/20,134083.0,85481.0
176 St,03/20,99414.0,71119.0
176 St,04/20,31733.0,34344.0
176 St,05/20,37833.0,40164.0
176 St,06/20,45261.0,46557.0
176 St,07/20,51295.0,51522.0
176 St,08/20,49245.0,48364.0
176 St,09/20,61488.0,55287.0
176 St,10/20,49058.0,45411.0
176 St,11/20,54718.0,50561.0
176 St,12/20,53332.0,47356.0
176 St,01/19,132224.0,81099.0
