STATION,DATE,ENTRIES,EXITS
1 Av,01/19,554832.0,629486.0
1 Av,02/19,369518.0,418245.0
1 Av,03/19,474812.0,521516.0
1 Av,04/19,522903.0,586210.0
1 Av,05/19,474070.0,540035.0
1 Av,06/19,447543.0,501527.0
1 Av,01/20,433832.0,497182.0
1 Av,02/20,383830.0,464921.0
1 Av,03/20,202038.0,273884.0
1 Av,04/20,37311.0,62113.0
1 Av,05/20,48396.0,76288.0
1 Av,06/20,83009.0,124027.0
1 Av,07/20,121300.0,172407.0
1 Av,08/20,140209.0,193064.0
1 Av,09/20,166619.0,226507.0
1 Av,10/20,194031.0,262980.0
1 Av,11/20,171018.0,237784.0
1 Av,12/20,127551.0,193055.0
1 Av,07/19,422979.0,475678.0
1 Av,08/19,400456.0,454031.0
1 Av,09/19,407409.0,453313.0
1 Av,10/19,474829.0,521786.0
1 Av,11/19,420623.0,467456.0
1 Av,12/19,407074.0,467937.0
103 St,01/20,774813.0,581769.0
103 St,02/20,721163.0,540566.0
103 St,03/20,431848.0,356822.0
103 St,04/20,94671.0,108157.0
103 St,05/20,111957.0,127295.0
103 St,06/20,155212.0,173140.0
103 St,07/20,193317.0,216814.0
103 St,08/20,202960.0,224313.0
103 St,09/20,251170.0,259572.0
103 St,10/20,282586.0,291958.0
103 St,11/20,256321.0,270202.0
103 St,12/20,206795.0,219445.0
103 St,01/19,784399.0,559826.0
103 St,02/19,721498.0,506857.0
103 St,03/19,814714.0,584120.0
103 St,04/19,815288.0,576333.0
103 St,05/19,858460.0,601081.0
103 St,06/19,729995.0,530698.0
103 St,07/19,688043.0,514730.0
103 St,08/19,731720.0,544541.0
103 St,09/19,798021.0,573735.0
103 St,10/19,859705.0,620118.0
103 St,11/19,779469.0,570729.0
103 St,12/19,771803.0,559877.0
103 St - Corona Plaza,01/20,542653.0,410626.0
103 St - Corona Plaza,02/20,512271.0,380425.0
103 St - Corona Plaza,03/20,348141.0,256313.0
103 St - Corona Plaza,04/20,67499.0,73423.0
103 St - Corona Plaza,05/20,111028.0,117720.0
103 St - Corona Plaza,06/20,169598.0,166079.0
103 St - Corona Plaza,07/20,215459.0,206169.0
103 St - Corona Plaza,08/20,205089.0,221830.0
103 St - Corona Plaza,09/20,251650.0,265675.0
103 St - Corona Plaza,10/20,279621.0,287674.0
103 St - Corona Plaza,11/20,270742.0,277604.0
103 St - Corona Plaza,12/20,220297.0,214255.0
103 St - Corona Plaza,01/19,518701.0,387919.0
103 St - Corona Plaza,02/19,486476.0,360228.0
103 St - Corona Plaza,03/19,528224.0,403186.0
103 St - Corona Plaza,04/19,540640.0,401542.0
103 St - Corona Plaza,05/19,565193.0,408079.0
103 St - Corona Plaza,06/19,530629.0,386014.0
103 St - Corona Plaza,07/19,518264.0,398233.0
103 St - Corona Plaza,08/19,531524.0,410627.0
103 St - Corona Plaza,09/19,551590.0,412084.0
103 St - Corona Plaza,10/19,582610.0,430574.0
103 St - Corona Plaza,11/19,538517.0,404139.0
103 St - Corona Plaza,12/19,538493.0,412646.0
104 St,01/20,105842.0,47630.0
104 St,02/20,102087.0,46678.0
104 St,03/20,69642.0,32303.0
104 St,04/20,14059.0,7830.0
104 St,05/20,20998.0,10691.0
104 St,06/20,31464.0,15943.0
104 St,07/20,39883.0,20011.0
104 St,08/20,42122.0,21181.0
104 St,09/20,47502.0,20486.0
104 St,10/20,48435.0,20809.0
104 St,11/20,46491.0,30909.0
104 St,12/20,40203.0,30363.0
104 St,01/19,108267.0,61334.0
104 St,02/19,103193.0,54866.0
104 St,03/19,121477.0,54183.0
104 St,04/19,122446.0,55682.0
104 St,05/19,122803.0,59796.0
104 St,06/19,110848.0,53193.0
104 St,07/19,105222.0,47114.0
104 St,08/19,101255.0,45672.0
104 St,09/19,106709.0,48235.0
104 St,10/19,117616.0,52849.0
104 St,11/19,108417.0,48738.0
104 St,12/19,102152.0,46334.0
110 St,01/20,276241.0,257776.0
110 St,02/20,255407.0,238914.0
110 St,03/20,165751.0,170447.0
110 St,04/20,39332.0,58291.0
110 St,05/20,47443.0,69191.0
110 St,06/20,63720.0,91765.0
110 St,07/20,76727.0,111038.0
110 St,08/20,78151.0,113238.0
110 St,09/20,96152.0,129863.0
110 St,10/20,110079.0,149719.0
110 St,11/20,99299.0,136211.0
110 St,12/20,82453.0,113157.0
110 St,01/19,280435.0,250710.0
110 St,02/19,255036.0,227980.0
110 St,03/19,292266.0,264894.0
110 St,04/19,279849.0,252505.0
110 St,05/19,297065.0,266863.0
110 St,06/19,276293.0,250592.0
110 St,07/19,249594.0,242032.0
110 St,08/19,262751.0,251002.0
110 St,09/19,281758.0,254399.0
110 St,10/19,307069.0,273276.0
110 St,11/19,278106.0,253533.0
110 St,12/19,273561.0,252074.0
111 St,01/20,413089.0,252306.0
111 St,02/20,578536.0,223134.0
111 St,03/20,314647.0,166234.0
111 St,04/20,53831.0,41645.0
111 St,05/20,86969.0,65680.0
111 St,06/20,131448.0,98640.0
111 St,07/20,166921.0,116339.0
111 St,08/20,171769.0,119994.0
111 St,09/20,204916.0,140176.0
111 St,10/20,224326.0,145707.0
111 St,11/20,210996.0,147862.0
111 St,12/20,166023.0,119343.0
111 St,01/19,375313.0,213328.0
111 St,02/19,330386.0,207930.0
111 St,03/19,372568.0,247850.0
111 St,04/19,375758.0,249863.0
111 St,05/19,392101.0,244020.0
111 St,06/19,397019.0,242094.0
111 St,07/19,419269.0,250247.0
111 St,08/19,420515.0,256851.0
111 St,09/19,430863.0,261048.0
111 St,10/19,547358.0,261603.0
111 St,11/19,510340.0,243873.0
111 St,12/19,415146.0,251815.0
116 St,01/20,845514.0,540447.0
116 St,02/20,801863.0,506139.0
116 St,03/20,501510.0,362794.0
